"172.10.0.4","2013-04-01 14:35","18226829"
"172.10.0.4","2013-04-01 15:55","17289451"
"172.10.0.4","2013-04-01 15:50","15547095"
"172.10.0.4","2013-04-01 15:30","14363422"
"172.10.0.4","2013-04-01 16:05","12766514"
"172.10.0.4","2013-04-01 15:25","12706464"
"172.10.0.4","2013-04-01 11:05","11715506"
"172.10.0.4","2013-04-01 15:15","11518809"
"172.10.0.4","2013-04-01 16:25","11138819"
"172.10.0.4","2013-04-01 15:45","10873112"
"172.10.0.4","2013-04-01 15:20","10630020"
"172.10.0.3","2013-04-01 23:45","10289337"
"172.10.0.3","2013-04-01 23:55","10277927"
"172.10.0.3","2013-04-01 23:25","10265690"
"172.10.0.3","2013-04-01 23:35","10261453"
"172.10.0.3","2013-04-01 23:20","10248539"
"172.10.0.3","2013-04-01 23:05","10241449"
"172.10.0.3","2013-04-01 23:15","10232770"
"172.10.0.3","2013-04-01 23:10","10232057"
"172.10.0.3","2013-04-01 23:40","10230350"
"172.10.0.3","2013-04-01 23:30","10221266"
"172.10.0.3","2013-04-01 23:50","10219752"
"172.10.0.4","2013-04-01 15:35","9771250"
"172.10.0.4","2013-04-01 16:00","9668669"
"172.10.0.4","2013-04-01 15:00","9106721"
"172.10.0.4","2013-04-01 15:10","9007258"
"172.10.0.4","2013-04-01 10:45","8711909"
"172.10.0.4","2013-04-01 16:10","8690047"
"172.10.0.4","2013-04-01 16:20","8027173"
"172.10.0.4","2013-04-01 10:35","7867824"
"172.10.0.4","2013-04-01 10:50","7543249"
"172.10.0.4","2013-04-01 14:50","7250530"
"172.10.0.4","2013-04-01 16:15","7103148"
"172.10.0.4","2013-04-01 15:05","6613315"
"172.10.0.4","2013-04-01 12:15","6094028"
"172.10.0.4","2013-04-01 11:00","5736436"
"172.10.0.4","2013-04-01 10:30","5529202"
"172.10.0.4","2013-04-01 15:40","5182735"
"172.10.0.4","2013-04-01 08:20","4917222"
"172.10.0.3","2013-04-01 23:00","4786980"
"172.10.0.4","2013-04-01 14:55","4635345"
"172.10.0.4","2013-04-01 14:05","4461974"
"172.10.0.4","2013-04-01 14:30","4296527"
"172.10.0.4","2013-04-01 14:45","4286890"
"172.10.0.4","2013-04-01 13:15","4244578"
"172.10.0.4","2013-04-01 11:40","4197512"
"172.10.0.4","2013-04-01 10:40","4049434"
"172.10.0.4","2013-04-01 09:10","4024595"
"172.10.0.4","2013-04-01 09:05","4017223"
"172.10.0.4","2013-04-01 13:40","3985209"
"172.10.0.4","2013-04-01 11:30","3871284"
"172.10.0.4","2013-04-01 09:50","3833577"
"172.10.0.4","2013-04-01 13:50","3493307"
"172.10.0.4","2013-04-01 10:15","3251683"
"172.10.0.4","2013-04-01 09:35","3160249"
"172.10.0.4","2013-04-01 16:30","3109221"
"172.10.0.4","2013-04-01 14:40","3077186"
"172.10.0.4","2013-04-01 10:10","3065271"
"172.10.0.4","2013-04-01 10:25","3008640"
"172.10.0.4","2013-04-01 14:15","2940499"
"172.10.0.4","2013-04-01 09:55","2881821"
"172.10.0.4","2013-04-01 12:55","2820601"
"172.10.0.3","2013-04-01 08:45","2809336"
"172.10.0.3","2013-04-01 08:30","2782572"
"172.10.0.3","2013-04-01 09:30","2720061"
"172.10.0.3","2013-04-01 09:05","2713191"
"172.10.0.3","2013-04-01 09:45","2703058"
"172.10.0.3","2013-04-01 15:30","2696875"
"172.10.0.3","2013-04-01 15:10","2690193"
"172.10.0.3","2013-04-01 10:20","2687129"
"172.10.0.3","2013-04-01 11:30","2679901"
"172.10.0.3","2013-04-01 16:05","2679672"
"172.10.0.3","2013-04-01 11:50","2676260"
"172.10.0.3","2013-04-01 16:25","2671809"
"172.10.0.3","2013-04-01 14:50","2670224"
"172.10.0.3","2013-04-01 13:30","2667290"
"172.10.0.3","2013-04-01 14:10","2663799"
"172.10.0.3","2013-04-01 11:05","2660965"
"172.10.0.3","2013-04-01 11:15","2660233"
"172.10.0.3","2013-04-01 14:25","2653548"
"172.10.0.3","2013-04-01 12:55","2652202"
"172.10.0.3","2013-04-01 09:25","2648682"
"172.10.0.3","2013-04-01 10:10","2648112"
"172.10.0.3","2013-04-01 13:50","2640794"
"172.10.0.3","2013-04-01 12:05","2640708"
"172.10.0.3","2013-04-01 13:15","2638196"
"172.10.0.3","2013-04-01 12:20","2637670"
"172.10.0.3","2013-04-01 14:55","2635687"
"172.10.0.3","2013-04-01 15:55","2633807"
"172.10.0.3","2013-04-01 16:20","2633567"
"172.10.0.3","2013-04-01 15:45","2632967"
"172.10.0.3","2013-04-01 12:35","2627846"
"172.10.0.3","2013-04-01 11:00","2626424"
"172.10.0.3","2013-04-01 10:35","2625233"
"172.10.0.3","2013-04-01 11:35","2624881"
